file,caller,function,call_id,static,type,parameter,key,value
0x3919efef96113f91,vgacon_startup,request_resource,21,0,1001,1,$->start,944
0x3919efef96113f91,vgacon_startup,request_resource,22,0,0,-1,,"int(*)(struct resource*, struct resource*)"
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1016,1,$->name,3
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1038,1,$->name,1
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1002,1,$->name,4
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,0,$,8636791340006543360
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,0,$->child,0
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,0,$->end,u16max
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,0,$->flags,256
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,0,$->name,7939777033384800256
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,0,$->parent,0
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,0,$->sibling,0
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,0,$->start,0
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,1,$,5970263162859737088
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,1,$->child,0
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,1,$->end,955
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,1,$->flags,0
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,1,$->name,5901581338666205184
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,1,$->parent,0
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,1,$->sibling,0
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,1,$->start,944
0x3919efef96113f91,vgacon_startup,request_resource,23,0,0,-1,,"int(*)(struct resource*, struct resource*)"
0x3919efef96113f91,vgacon_startup,request_resource,23,0,1016,1,$->name,3
0x3919efef96113f91,vgacon_startup,request_resource,23,0,1038,1,$->name,1
0x3919efef96113f91,vgacon_startup,request_resource,23,0,1002,1,$->name,4
0x3919efef96113f91,vgacon_startup,request_resource,23,0,1001,0,$,8636791340006543360
0x3919efef96113f91,vgacon_startup,request_resource,23,0,1001,0,$->child,0
0x3919efef96113f91,vgacon_startup,request_resource,23,0,1001,0,$->end,u16max
0x3919efef96113f91,vgacon_startup,request_resource,23,0,1001,0,$->flags,256
0x3919efef96113f91,vgacon_startup,request_resource,23,0,1001,0,$->name,7939777033384800256
0x3919efef96113f91,vgacon_startup,request_resource,23,0,1001,0,$->parent,0
0x3919efef96113f91,vgacon_startup,request_resource,23,0,1001,0,$->sibling,0
0x3919efef96113f91,vgacon_startup,request_resource,23,0,1001,0,$->start,0
0x3919efef96113f91,vgacon_startup,request_resource,23,0,1001,1,$,6396601553154203648
0x3919efef96113f91,vgacon_startup,request_resource,23,0,1001,1,$->child,0
0x3919efef96113f91,vgacon_startup,request_resource,23,0,1001,1,$->end,959
0x3919efef96113f91,vgacon_startup,request_resource,23,0,1001,1,$->flags,0
0x3919efef96113f91,vgacon_startup,request_resource,23,0,1001,1,$->name,5901581338666205184
0x3919efef96113f91,vgacon_startup,request_resource,23,0,1001,1,$->parent,0
0x3919efef96113f91,vgacon_startup,request_resource,23,0,1001,1,$->sibling,0
0x3919efef96113f91,vgacon_startup,request_resource,23,0,1001,1,$->start,959
0x3919efef96113f91,vgacon_startup,request_resource,24,0,0,-1,,"int(*)(struct resource*, struct resource*)"
0x3919efef96113f91,vgacon_startup,request_resource,24,0,1016,1,$->name,3
0x3919efef96113f91,vgacon_startup,request_resource,24,0,1038,1,$->name,1
0x3919efef96113f91,vgacon_startup,request_resource,24,0,1002,1,$->name,4
0x3919efef96113f91,vgacon_startup,request_resource,24,0,1001,0,$,8636791340006543360
0x3919efef96113f91,vgacon_startup,request_resource,24,0,1001,0,$->child,0
0x3919efef96113f91,vgacon_startup,request_resource,24,0,1001,0,$->end,u16max
0x3919efef96113f91,vgacon_startup,request_resource,24,0,1001,0,$->flags,256
0x3919efef96113f91,vgacon_startup,request_resource,24,0,1001,0,$->name,7939777033384800256
0x3919efef96113f91,vgacon_startup,request_resource,24,0,1001,0,$->parent,0
0x3919efef96113f91,vgacon_startup,request_resource,24,0,1001,0,$->sibling,0
0x3919efef96113f91,vgacon_startup,request_resource,24,0,1001,0,$->start,0
0x3919efef96113f91,vgacon_startup,request_resource,24,0,1001,1,$,7015290706184404992
0x3919efef96113f91,vgacon_startup,request_resource,24,0,1001,1,$->child,0
0x3919efef96113f91,vgacon_startup,request_resource,24,0,1001,1,$->end,991
0x3919efef96113f91,vgacon_startup,request_resource,24,0,1001,1,$->flags,0
0x3919efef96113f91,vgacon_startup,request_resource,24,0,1001,1,$->name,162693768837926912
0x3919efef96113f91,vgacon_startup,request_resource,24,0,1001,1,$->parent,0
0x3919efef96113f91,vgacon_startup,request_resource,24,0,1001,1,$->sibling,0
0x3919efef96113f91,vgacon_startup,request_resource,24,0,1001,1,$->start,960
0x3919efef96113f91,vgacon_startup,request_resource,25,0,0,-1,,"int(*)(struct resource*, struct resource*)"
0x3919efef96113f91,vgacon_startup,request_resource,25,0,1016,1,$->name,4
0x3919efef96113f91,vgacon_startup,request_resource,25,0,1038,1,$->name,1
0x3919efef96113f91,vgacon_startup,request_resource,25,0,1002,1,$->name,5
0x3919efef96113f91,vgacon_startup,request_resource,25,0,1001,0,$,8636791340006543360
0x3919efef96113f91,vgacon_startup,request_resource,25,0,1001,0,$->child,0
0x3919efef96113f91,vgacon_startup,request_resource,25,0,1001,0,$->end,u16max
0x3919efef96113f91,vgacon_startup,request_resource,25,0,1001,0,$->flags,256
0x3919efef96113f91,vgacon_startup,request_resource,25,0,1001,0,$->name,7939777033384800256
0x3919efef96113f91,vgacon_startup,request_resource,25,0,1001,0,$->parent,0
0x3919efef96113f91,vgacon_startup,request_resource,25,0,1001,0,$->sibling,0
0x3919efef96113f91,vgacon_startup,request_resource,25,0,1001,0,$->start,0
0x3919efef96113f91,vgacon_startup,request_resource,25,0,1001,1,$,9150847217284358144
0x3919efef96113f91,vgacon_startup,request_resource,25,0,1001,1,$->child,0
0x3919efef96113f91,vgacon_startup,request_resource,25,0,1001,1,$->end,991
0x3919efef96113f91,vgacon_startup,request_resource,25,0,1001,1,$->flags,0
0x3919efef96113f91,vgacon_startup,request_resource,25,0,1001,1,$->name,7418575647116017664
0x3919efef96113f91,vgacon_startup,request_resource,25,0,1001,1,$->parent,0
0x3919efef96113f91,vgacon_startup,request_resource,25,0,1001,1,$->sibling,0
0x3919efef96113f91,vgacon_startup,request_resource,25,0,1001,1,$->start,960
0x3919efef96113f91,vgacon_startup,inb_p,26,1,0,-1,,uchar(*)(int)
0x3919efef96113f91,vgacon_startup,inb_p,26,1,1001,0,$,986
0x3919efef96113f91,vgacon_startup,outb_p,27,1,0,-1,,"void(*)(uchar, int)"
0x3919efef96113f91,vgacon_startup,outb_p,27,1,1001,0,$,0-15
0x3919efef96113f91,vgacon_startup,outb_p,27,1,1001,1,$,960
0x3919efef96113f91,vgacon_startup,outb_p,28,1,0,-1,,"void(*)(uchar, int)"
0x3919efef96113f91,vgacon_startup,outb_p,28,1,1001,0,$,0-15
0x3919efef96113f91,vgacon_startup,outb_p,28,1,1001,1,$,960
0x3919efef96113f91,vgacon_startup,outb_p,29,1,0,-1,,"void(*)(uchar, int)"
0x3919efef96113f91,vgacon_startup,outb_p,29,1,1001,0,$,32
0x3919efef96113f91,vgacon_startup,outb_p,29,1,1001,1,$,960
0x3919efef96113f91,vgacon_startup,outb_p,30,1,0,-1,,"void(*)(uchar, int)"
0x3919efef96113f91,vgacon_startup,outb_p,30,1,1001,1,$,968
0x3919efef96113f91,vgacon_startup,outb_p,31,1,0,-1,,"void(*)(uchar, int)"
0x3919efef96113f91,vgacon_startup,outb_p,31,1,1001,1,$,969
0x3919efef96113f91,vgacon_startup,outb_p,32,1,0,-1,,"void(*)(uchar, int)"
0x3919efef96113f91,vgacon_startup,outb_p,32,1,1001,1,$,969
0x3919efef96113f91,vgacon_startup,outb_p,33,1,0,-1,,"void(*)(uchar, int)"
0x3919efef96113f91,vgacon_startup,outb_p,33,1,1001,1,$,969
0x3919efef96113f91,vgacon_startup,request_resource,34,0,0,-1,,"int(*)(struct resource*, struct resource*)"
0x3919efef96113f91,vgacon_startup,request_resource,34,0,1016,1,$->name,3
0x3919efef96113f91,vgacon_startup,request_resource,34,0,1038,1,$->name,1
0x3919efef96113f91,vgacon_startup,request_resource,34,0,1002,1,$->name,4
0x3919efef96113f91,vgacon_startup,request_resource,34,0,1001,0,$,8636791340006543360
0x3919efef96113f91,vgacon_startup,request_resource,34,0,1001,0,$->child,0
0x3919efef96113f91,vgacon_startup,request_resource,34,0,1001,0,$->end,u16max
0x3919efef96113f91,vgacon_startup,request_resource,34,0,1001,0,$->flags,256
0x3919efef96113f91,vgacon_startup,request_resource,34,0,1001,0,$->name,7939777033384800256
0x3919efef96113f91,vgacon_startup,request_resource,34,0,1001,0,$->parent,0
0x3919efef96113f91,vgacon_startup,request_resource,34,0,1001,0,$->sibling,0
0x3919efef96113f91,vgacon_startup,request_resource,34,0,1001,0,$->start,0
0x3919efef96113f91,vgacon_startup,request_resource,34,0,1001,1,$,4615605658914107392
0x3919efef96113f91,vgacon_startup,request_resource,34,0,1001,1,$->child,0
0x3919efef96113f91,vgacon_startup,request_resource,34,0,1001,1,$->end,981
0x3919efef96113f91,vgacon_startup,request_resource,34,0,1001,1,$->flags,0
0x3919efef96113f91,vgacon_startup,request_resource,34,0,1001,1,$->name,7119499853195849728
0x3919efef96113f91,vgacon_startup,request_resource,34,0,1001,1,$->parent,0
0x3919efef96113f91,vgacon_startup,request_resource,34,0,1001,1,$->sibling,0
0x3919efef96113f91,vgacon_startup,request_resource,34,0,1001,1,$->start,980
0x3919efef96113f91,vgacon_startup,phys_to_virt,35,1,0,-1,,void*(*)(ullong)
0x3919efef96113f91,vgacon_startup,phys_to_virt,35,1,1001,0,$,"720896,753664"
0x3919efef96113f91,vgacon_startup,phys_to_virt,35,1,2015,0,$,753664
0x3919efef96113f91,vgacon_startup,phys_to_virt,35,1,1015,0,$,753664
0x3919efef96113f91,vgacon_startup,phys_to_virt,35,1,1034,0,$,"0xb0000,0xb8000"
0x3919efef96113f91,inb_p,inb,36,1,0,-1,,uchar(*)(int)
0x3919efef96113f91,inb_p,inb,36,1,1014,0,$,$0
0x3919efef96113f91,inb_p,inb,36,1,2054,-2,,
0x3919efef96113f91,inb_p,slow_down_io,37,1,0,-1,,void(*)()
0x3919efef96113f91,inb_p,slow_down_io,37,1,2054,-2,,
0x3919efef96113f91,slow_down_io,native_io_delay,38,0,0,-1,,void(*)()
0x3919efef96113f91,outb_p,outb,39,1,0,-1,,"void(*)(uchar, int)"
0x3919efef96113f91,outb_p,slow_down_io,40,1,0,-1,,void(*)()
0x3919efef96113f91,outb_p,slow_down_io,40,1,2054,-2,,
0x3919efef96113f91,vgacon_init,vc_resize,41,0,0,-1,,"int(*)(struct vc_data*, uint, uint)"
0x3919efef96113f91,vgacon_init,vc_resize,41,0,1002,0,$->vc_display_fg,8
0x3919efef96113f91,vgacon_init,vc_resize,41,0,1002,0,$->vc_uni_pagedir_loc,8
0x3919efef96113f91,vgacon_init,vc_resize,41,0,1001,0,$,4096-ptr_max
0x3919efef96113f91,vgacon_init,vc_resize,41,0,1001,0,$->vc_complement_mask,0
0x3919efef96113f91,vgacon_init,vc_resize,41,0,1001,0,$->vc_display_fg,3273774230749237248
0x3919efef96113f91,vgacon_init,vc_resize,41,0,1001,0,$->vc_hi_font_mask,0
0x3919efef96113f91,vgacon_init,vc_resize,41,0,1001,0,$->vc_panic_force_write,0
0x3919efef96113f91,vgacon_init,vc_resize,41,0,1001,0,$->vc_sw,4096-ptr_max
0x3919efef96113f91,vgacon_init,vc_resize,41,0,1001,0,$->vc_uni_pagedir,0
0x3919efef96113f91,vgacon_init,vc_resize,41,0,1001,0,$->vc_uni_pagedir_loc,4096-ptr_max
0x3919efef96113f91,vgacon_init,vc_resize,41,0,1014,0,$,$0
0x3919efef96113f91,vgacon_init,con_free_unimap,42,0,0,-1,,void(*)(struct vc_data*)
0x3919efef96113f91,vgacon_init,con_free_unimap,42,0,1004,0,$->vc_uni_pagedir_loc,1
0x3919efef96113f91,vgacon_init,con_free_unimap,42,0,1034,0,$->vc_hi_font_mask,"0x0,0x800"
0x3919efef96113f91,vgacon_init,con_free_unimap,42,0,1002,0,$->vc_display_fg,8
0x3919efef96113f91,vgacon_init,con_free_unimap,42,0,1002,0,$->vc_uni_pagedir_loc,8
0x3919efef96113f91,vgacon_init,con_free_unimap,42,0,1001,0,$,4096-ptr_max
0x3919efef96113f91,vgacon_init,con_free_unimap,42,0,1001,0,$->vc_complement_mask,30464
0x3919efef96113f91,vgacon_init,con_free_unimap,42,0,1001,0,$->vc_display_fg,3273774230749237248
0x3919efef96113f91,vgacon_init,con_free_unimap,42,0,1001,0,$->vc_hi_font_mask,"0,2048"
0x3919efef96113f91,vgacon_init,con_free_unimap,42,0,2015,0,$->vc_hi_font_mask,2048
0x3919efef96113f91,vgacon_init,con_free_unimap,42,0,1015,0,$->vc_hi_font_mask,2048
0x3919efef96113f91,vgacon_init,con_free_unimap,42,0,1001,0,$->vc_panic_force_write,0
0x3919efef96113f91,vgacon_init,con_free_unimap,42,0,1001,0,$->vc_scan_lines,0-16711425
0x3919efef96113f91,vgacon_init,con_free_unimap,42,0,1001,0,$->vc_sw,4096-ptr_max
0x3919efef96113f91,vgacon_init,con_free_unimap,42,0,1001,0,$->vc_uni_pagedir,0
0x3919efef96113f91,vgacon_init,con_free_unimap,42,0,1001,0,$->vc_uni_pagedir_loc,4096-ptr_max
0x3919efef96113f91,vgacon_init,con_free_unimap,42,0,1014,0,$,$0
0x3919efef96113f91,vgacon_init,con_set_default_unimap,43,0,0,-1,,int(*)(struct vc_data*)
0x3919efef96113f91,vgacon_init,con_set_default_unimap,43,0,1034,0,$->vc_hi_font_mask,"0x0,0x800"
0x3919efef96113f91,vgacon_init,con_set_default_unimap,43,0,1002,0,$->vc_display_fg,8
0x3919efef96113f91,vgacon_init,con_set_default_unimap,43,0,1002,0,$->vc_uni_pagedir_loc,16
0x3919efef96113f91,vgacon_init,con_set_default_unimap,43,0,1001,0,$,4096-ptr_max
0x3919efef96113f91,vgacon_init,con_set_default_unimap,43,0,1001,0,$->vc_complement_mask,30464
0x3919efef96113f91,vgacon_init,con_set_default_unimap,43,0,1001,0,$->vc_display_fg,3273774230749237248
0x3919efef96113f91,vgacon_init,con_set_default_unimap,43,0,1001,0,$->vc_hi_font_mask,"0,2048"
0x3919efef96113f91,vgacon_init,con_set_default_unimap,43,0,2015,0,$->vc_hi_font_mask,2048
0x3919efef96113f91,vgacon_init,con_set_default_unimap,43,0,1015,0,$->vc_hi_font_mask,2048
0x3919efef96113f91,vgacon_init,con_set_default_unimap,43,0,1001,0,$->vc_panic_force_write,0
0x3919efef96113f91,vgacon_init,con_set_default_unimap,43,0,1001,0,$->vc_scan_lines,0-16711425
0x3919efef96113f91,vgacon_init,con_set_default_unimap,43,0,1001,0,$->vc_sw,4096-ptr_max
0x3919efef96113f91,vgacon_init,con_set_default_unimap,43,0,1001,0,$->vc_uni_pagedir,0
0x3919efef96113f91,vgacon_init,con_set_default_unimap,43,0,1001,0,$->vc_uni_pagedir_loc,8666783204504178688
0x3919efef96113f91,vgacon_init,con_set_default_unimap,43,0,1014,0,$,$0
0x3919efef96113f91,vgacon_deinit,vga_set_mem_top,44,1,0,-1,,void(*)(struct vc_data*)
0x3919efef96113f91,vgacon_deinit,vga_set_mem_top,44,1,1004,0,*$->vc_display_fg,1
0x3919efef96113f91,vgacon_deinit,vga_set_mem_top,44,1,1029,0,*$->vc_display_fg,== $0
0x3919efef96113f91,vgacon_deinit,vga_set_mem_top,44,1,1001,0,*$->vc_display_fg,4096-ptr_max
0x3919efef96113f91,vgacon_deinit,vga_set_mem_top,44,1,1001,0,$,4096-ptr_max
0x3919efef96113f91,vgacon_deinit,vga_set_mem_top,44,1,1001,0,$->vc_display_fg,4096-ptr_max
0x3919efef96113f91,vgacon_deinit,vga_set_mem_top,44,1,1001,0,$->vc_sw,4096-ptr_max
0x3919efef96113f91,vgacon_deinit,vga_set_mem_top,44,1,1001,0,$->vc_visible_origin,"0,720896,753664,9223372036854775807"
0x3919efef96113f91,vgacon_deinit,vga_set_mem_top,44,1,1014,0,$,$0
0x3919efef96113f91,vgacon_deinit,con_free_unimap,45,0,0,-1,,void(*)(struct vc_data*)
0x3919efef96113f91,vgacon_deinit,con_free_unimap,45,0,1001,0,$,4096-ptr_max
0x3919efef96113f91,vgacon_deinit,con_free_unimap,45,0,1001,0,$->vc_display_fg,4096-ptr_max
0x3919efef96113f91,vgacon_deinit,con_free_unimap,45,0,1001,0,$->vc_sw,4096-ptr_max
0x3919efef96113f91,vgacon_deinit,con_free_unimap,45,0,1014,0,$,$0
0x3919efef96113f91,vgacon_deinit,con_set_default_unimap,46,0,0,-1,,int(*)(struct vc_data*)
0x3919efef96113f91,vgacon_deinit,con_set_default_unimap,46,0,1002,0,$->vc_uni_pagedir_loc,8
0x3919efef96113f91,vgacon_deinit,con_set_default_unimap,46,0,1001,0,$,4096-ptr_max
0x3919efef96113f91,vgacon_deinit,con_set_default_unimap,46,0,1001,0,$->vc_display_fg,4096-ptr_max
0x3919efef96113f91,vgacon_deinit,con_set_default_unimap,46,0,1001,0,$->vc_sw,4096-ptr_max
0x3919efef96113f91,vgacon_deinit,con_set_default_unimap,46,0,1001,0,$->vc_uni_pagedir_loc,4096-ptr_max
0x3919efef96113f91,vgacon_deinit,con_set_default_unimap,46,0,1014,0,$,$0
0x3919efef96113f91,vgacon_set_cursor_size,arch_local_irq_save,47,1,0,-1,,ulong(*)()
0x3919efef96113f91,vgacon_set_cursor_size,spinlock_check,48,1,0,-1,,struct raw_spinlock*(*)(struct spinlock*)
0x3919efef96113f91,vgacon_set_cursor_size,outb_p,49,1,0,-1,,"void(*)(uchar, int)"
0x3919efef96113f91,vgacon_set_cursor_size,outb_p,49,1,1001,0,$,10
0x3919efef96113f91,vgacon_set_cursor_size,inb_p,50,1,0,-1,,uchar(*)(int)
0x3919efef96113f91,vgacon_set_cursor_size,outb_p,51,1,0,-1,,"void(*)(uchar, int)"
0x3919efef96113f91,vgacon_set_cursor_size,outb_p,51,1,1001,0,$,11
0x3919efef96113f91,vgacon_set_cursor_size,inb_p,52,1,0,-1,,uchar(*)(int)
0x3919efef96113f91,vgacon_set_cursor_size,outb_p,53,1,0,-1,,"void(*)(uchar, int)"
0x3919efef96113f91,vgacon_set_cursor_size,outb_p,53,1,1001,0,$,10
0x3919efef96113f91,vgacon_set_cursor_size,outb_p,54,1,0,-1,,"void(*)(uchar, int)"
0x3919efef96113f91,vgacon_set_cursor_size,outb_p,54,1,7016,0,$,0-255[c]
0x3919efef96113f91,vgacon_set_cursor_size,outb_p,55,1,0,-1,,"void(*)(uchar, int)"
0x3919efef96113f91,vgacon_set_cursor_size,outb_p,55,1,1001,0,$,11
0x3919efef96113f91,vgacon_set_cursor_size,outb_p,56,1,0,-1,,"void(*)(uchar, int)"
0x3919efef96113f91,vgacon_set_cursor_size,outb_p,56,1,7016,0,$,0-255[c]
0x3919efef96113f91,vgacon_set_cursor_size,spin_unlock_irqrestore,57,1,0,-1,,"void(*)(struct spinlock*, ulong)"
0x3919efef96113f91,vgacon_cursor,vgacon_restore_screen,58,1,0,-1,,void(*)(struct vc_data*)
0x3919efef96113f91,vgacon_cursor,vgacon_restore_screen,58,1,1001,0,$,4096-ptr_max
0x3919efef96113f91,vgacon_cursor,vgacon_restore_screen,58,1,1001,0,$->vc_display_fg,"0,4096-ptr_max"
0x3919efef96113f91,vgacon_cursor,vgacon_restore_screen,58,1,1001,0,$->vc_mode,0
0x3919efef96113f91,vgacon_cursor,vgacon_restore_screen,58,1,1001,0,$->vc_sw,4096-ptr_max
0x3919efef96113f91,vgacon_cursor,vgacon_restore_screen,58,1,1014,0,$,$0
0x3919efef96113f91,vgacon_cursor,write_vga,59,1,0,-1,,"void(*)(uchar, uint)"
0x3919efef96113f91,vgacon_cursor,write_vga,59,1,1001,0,$,14
